No.,Chinese Name,Japanese Name,English Name
255,龙之石板,りゅうのプレート,Draco Plate,龙属性的石板。携带后，龙属性的招式威力就会增强。
256,恶颜石板,こわもてプレート,Dread Plate,恶属性的石板。携带后，恶属性的招式威力就会增强。
257,钢铁石板,こうてつプレート,Iron Plate,钢属性的石板。携带后，钢属性的招式威力就会增强。
258,妖精石板,せいれいプレート,Pixie Plate,妖精属性的石板。携带后，妖精属性的招式威力就会增强。
259,浑圆之石,まんまるいし,Oval Stone,能让某些特定宝可梦进化的神奇石头。像珠子一般圆润。
260,金刚宝珠,こんごうだま,Adamant Orb,让帝牙卢卡携带的话，龙和钢属性的招式威力就会提高。散发着光辉的宝珠。
261,白玉宝珠,しらたま,Lustrous Orb,让帕路奇亚携带的话，龙和水属性的招式威力就会提高。散发着美丽光辉的宝珠。
262,白金宝珠,はっきんだま,Griseous Orb,让骑拉帝纳携带的话，龙和幽灵属性的招式威力就会提高。散发着光辉的宝珠。
263,护具,プロテクター,Protector,某种护具。非常坚硬而且沉重。某种宝可梦很喜欢它。
264,电力增幅器,エレキブースター,Electirizer,积蓄着庞大电气力量的箱子。某种宝可梦很喜欢它。
265,熔岩增幅器,マグマブースター,Magmarizer,积蓄着庞大熔岩能量的箱子。某种宝可梦很喜欢它。
266,可疑补丁,あやしいパッチ,Dubious Disc,内部储存了奇怪信息的透明机器。制造者不明。
267,灵界之布,れいかいのぬの,Reaper Cloth,蕴含着惊人强大灵力的布。某种宝可梦很喜欢它。
268,锐利之爪,するどいツメ,Razor Claw,尖锐的爪子。携带后，招式会变得容易击中要害。
269,锐利之牙,するどいキバ,Razor Fang,尖锐的牙齿。携带后，在给予伤害时，有时会让对手畏缩。
270,广角镜,こうかくレンズ,Wide Lens,能放大观看物体的镜片。携带后，招式的命中率就会少量提高。
271,力量头带,ちからのハチマキ,Muscle Band,力如泉涌的头带。携带后，物理招式的威力就会少量提高。
272,博识眼镜,ものしりメガネ,Wise Glasses,装着很厚镜片的眼镜。携带后，特殊招式的威力就会少量提高。
273,达人带,たつじんのおび,Expert Belt,用惯了的黑色带子。携带后，效果绝佳时的招式威力就会少量提高。
274,光之黏土,ひかりのねんど,Light Clay,当携带它的宝可梦使出光墙或反射壁时，效果会比平时持续得更长。
275,生命宝珠,いのちのたま,Life Orb,携带后，虽然每次攻击时ＨＰ少量减少，但招式的威力会提高。
276,剧毒宝珠,どくどくだま,Toxic Orb,触碰后会放出毒的神奇宝珠。携带后，在战斗时会变成剧毒状态。
277,火焰宝珠,かえんだま,Flame Orb,触碰后会放出热量的神奇宝珠。携带后，在战斗时会变成灼伤状态。
278,气势披带,きあいのタスキ,Focus Sash,携带后，在ＨＰ全满时，即便受到可能会导致濒死的招式，也能仅以１ＨＰ撑过去１次。
279,对焦镜,フォーカスレンズ,Zoom Lens,当携带它的宝可梦比对手行动迟缓时，招式会变得容易命中。
280,节拍器,メトロノーム,Metronome,携带后，连续使出相同招式时，威力就会提高。不再使出相同招式时，威力就会复原。
281,黑色铁球,くろいてっきゅう,Iron Ball,携带后，速度会降低。飞行属性以及飘浮宝可梦会被地面招式击中。
282,后攻之尾,こうこうのしっぽ,Lagging Tail,非常沉重的某种尾巴。携带后，行动会比平时更加迟缓。
283,红线,あかいいと,Destiny Knot,长长的鲜红色细线。携带后，在自己着迷时能让对手也着迷。
284,黑色污泥,くろいヘドロ,Black Sludge,携带后，毒属性的宝可梦会缓缓回复ＨＰ。其他属性的话，ＨＰ则会减少。
285,冰冷岩石,つめたいいわ,Icy Rock,携带它的宝可梦使出冰雹的话，冰雹的时间就会比平时更长。
286,沙沙岩石,さらさらいわ,Smooth Rock,携带它的宝可梦使出沙暴的话，沙暴的时间就会比平时更长。
287,炽热岩石,あついいわ,Heat Rock,携带它的宝可梦使出大晴天的话，晴天的时间就会比平时更长。
288,潮湿岩石,しめったいわ,Damp Rock,携带它的宝可梦使出求雨的话，下雨的时间就会比平时更长。
289,紧缠钩爪,ねばりのかぎづめ,Grip Claw,携带后，绑紧以及紧束等会持续造成伤害的招式的回合数会增加。
290,附着针,くっつきバリ,Sticky Barb,携带后，每回合都会受到伤害。有时也会附着到碰到自己的对手身上。
291,力量护腕,パワーリスト,Power Bracer,虽然携带后速度会降低，但宝可梦的攻击会比平时成长得更高。
292,力量腰带,パワーベルト,Power Belt,虽然携带后速度会降低，但宝可梦的防御会比平时成长得更高。
293,力量镜,パワーレンズ,Power Lens,虽然携带后速度会降低，但宝可梦的特攻会比平时成长得更高。
294,力量束带,パワーバンド,Power Band,虽然携带后速度会降低，但宝可梦的特防会比平时成长得更高。
295,力量护踝,パワーアンクル,Power Anklet,虽然携带后速度会降低，但宝可梦的速度会比平时成长得更高。
296,力量负重,パワーウエイト,Power Weight,虽然携带后速度会降低，但宝可梦的ＨＰ会比平时成长得更高。
297,美丽空壳,きれいなぬけがら,Shed Shell,结实坚硬的空壳。携带它的宝可梦必定可以和后备的宝可梦进行替换。
298,大根茎,おおきなねっこ,Big Root,携带后，吸取ＨＰ的招式可以比平时更多地回复自己的ＨＰ。
299,水流卡带,アクアカセット,Douse Drive,这是让盖诺赛克特携带的卡带。携带后，高科技光炮这招式就会变为水属性。
300,闪电卡带,イナズマカセット,Shock Drive,这是让盖诺赛克特携带的卡带。携带后，高科技光炮这招式就会变为电属性。
301,火焰卡带,ブレイズカセット,Burn Drive,这是让盖诺赛克特携带的卡带。携带后，高科技光炮这招式就会变为火属性。
302,冰冻卡带,フリーズカセット,Chill Drive,这是让盖诺赛克特携带的卡带。携带后，高科技光炮这招式就会变为冰属性。
303,美丽鳞片,きれいなウロコ,Prism Scale,能让某些特定宝可梦进化的神奇鳞片。散发着虹色光辉。
304,进化奇石,しんかのきせき,Eviolite,进化的神奇石块。携带后，还能进化的宝可梦的防御和特防就会提高。
305,轻石,かるいし,Float Stone,非常轻的石头。携带后，宝可梦的体重会变轻。
306,凸凸头盔,ゴツゴツメット,Rocky Helmet,让宝可梦携带后，在受到打击招式攻击时，能给予对手伤害。
307,气球,ふうせん,Air Balloon,让宝可梦携带后，宝可梦会浮在空中。受到攻击就会破裂。
308,红牌,レッドカード,Red Card,有着神奇力量的卡片。携带后，能让使用了招式的对手退场。
309,标靶,ねらいのまと,Ring Target,原本因宝可梦的属性相克关系而无效的招式现在会变得能够击中自己。
310,紧绑束带,しめつけバンド,Binding Band,能增强绑紧招式的束带。携带后，绑紧招式的威力会变强。
311,球根,きゅうこん,Absorb Bulb,一次性使用的球根。携带它的宝可梦如果受到水属性招式的攻击，特攻就会提高。
312,充电电池,じゅうでんち,Cell Battery,一次性使用的充电电池。携带它的宝可梦如果受到电属性招式的攻击，攻击就会提高。
313,逃脱按键,だっしゅつボタン,Eject Button,携带它的宝可梦如果受到招式攻击，就能逃脱战斗，并和同行的其他宝可梦进行替换。
314,火之宝石,ほのおのジュエル,Fire Gem,火属性的宝石。携带后，火属性的招式威力仅会增强１次。
315,水之宝石,みずのジュエル,Water Gem,水属性的宝石。携带后，水属性的招式威力仅会增强１次。
316,电之宝石,でんきのジュエル,Electric Gem,电属性的宝石。携带后，电属性的招式威力仅会增强１次。
317,草之宝石,くさのジュエル,Grass Gem,草属性的宝石。携带后，草属性的招式威力仅会增强１次。
318,冰之宝石,こおりのジュエル,Ice Gem,冰属性的宝石。携带后，冰属性的招式威力仅会增强１次。
319,格斗宝石,かくとうジュエル,Fighting Gem,格斗属性的宝石。携带后，格斗属性的招式威力仅会增强１次。
320,毒之宝石,どくのジュエル,Poison Gem,毒属性的宝石。携带后，毒属性的招式威力仅会增强１次。
321,地面宝石,じめんのジュエル,Ground Gem,地面属性的宝石。携带后，地面属性的招式威力仅会增强１次。
322,飞行宝石,ひこうのジュエル,Flying Gem,飞行属性的宝石。携带后，飞行属性的招式威力仅会增强１次。
323,超能力宝石,エスパージュエル,Psychic Gem,超能力属性的宝石。携带后，超能力属性的招式威力仅会增强１次。
324,虫之宝石,むしのジュエル,Bug Gem,虫属性的宝石。携带后，虫属性的招式威力仅会增强１次。
325,岩石宝石,いわのジュエル,Rock Gem,岩石属性的宝石。携带后，岩石属性的招式威力仅会增强１次。
326,幽灵宝石,ゴーストジュエル,Ghost Gem,幽灵属性的宝石。携带后，幽灵属性的招式威力仅会增强１次。
327,龙之宝石,ドラゴンジュエル,Dragon Gem,龙属性的宝石。携带后，龙属性的招式威力仅会增强１次。
328,恶之宝石,あくのジュエル,Dark Gem,恶属性的宝石。携带后，恶属性的招式威力仅会增强１次。
329,钢之宝石,はがねのジュエル,Steel Gem,钢属性的宝石。携带后，钢属性的招式威力仅会增强１次。
330,一般宝石,ノーマルジュエル,Normal Gem,一般属性的宝石。携带后，一般属性的招式威力仅会增强１次。
331,妖精宝石,ようせいジュエル,Fairy Gem,妖精属性的宝石。携带后，妖精属性的招式威力会仅增强１次。
332,弱点保险,じゃくてんほけん,Weakness Policy,被针对弱点时，攻击和特攻就会大幅提高。
333,打空保险,からぶりほけん,Blunder Policy,招式因命中率影响而落空时，速度会大幅提高。
334,突击背心,とつげきチョッキ,Assault Vest,会变得富有攻击性的背心。虽然携带后特防会提高，但会无法使出变化招式。
335,泡沫奶油,ホイップポップ,Whipped Dream,松松软软起着泡的，稍微有点甜的奶油。某种宝可梦很喜欢它。
336,香袋,においぶくろ,Sachet,装着散发微浓香气的香料的袋子。某种宝可梦很喜欢它。
337,光苔,ひかりごけ,Luminous Moss,一次性使用的光苔。携带它的宝可梦如果受到水属性招式攻击，特防就会提高。
338,雪球,ゆきだま,Snowball,一次性使用的雪球。携带它的宝可梦如果受到冰属性招式攻击，攻击就会提高。
339,防尘护目镜,ぼうじんゴーグル,Safety Goggles,不单是天气造成的伤害，就连粉末类招式的效果也能防御的护目镜。
340,妙蛙花进化石,フシギバナイト,Venusaurite,让妙蛙花携带后，在战斗时就能进行超级进化的一种神奇超级石。
341,喷火龙进化石Ｘ,リザードナイトX,Charizardite X,让喷火龙携带后，在战斗时就能进行超级进化的一种神奇超级石。
342,喷火龙进化石Ｙ,リザードナイトY,Charizardite Y,让喷火龙携带后，在战斗时就能进行超级进化的一种神奇超级石。
343,水箭龟进化石,カメックスナイト,Blastoisinite,让水箭龟携带后，在战斗时就能进行超级进化的一种神奇超级石。
344,大针蜂进化石,スピアナイト,Beedrillite,大针蜂携带后，在战斗时就能进行超级进化的一种神奇超级石。
345,大比鸟进化石,ピジョットナイト,Pidgeotite,让大比鸟携带后，在战斗时就能进行超级进化的一种神奇超级石。
346,胡地进化石,フーディナイト,Alakazite,让胡地携带后，在战斗时就能进行超级进化的一种神奇超级石。
347,呆壳兽进化石,ヤドランナイト,Slowbronite,让呆壳兽携带后，在战斗时就能进行超级进化的一种神奇超级石。
348,耿鬼进化石,ゲンガナイト,Gengarite,让耿鬼携带后，在战斗时就能进行超级进化的一种神奇超级石。
349,袋兽进化石,ガルーラナイト,Kangaskhanite,让袋兽携带后，在战斗时就能进行超级进化的一种神奇超级石。
350,凯罗斯进化石,カイロスナイト,Pinsirite,让凯罗斯携带后，在战斗时就能进行超级进化的一种神奇超级石。
351,暴鲤龙进化石,ギャラドスナイト,Gyaradosite,让暴鲤龙携带后，在战斗时就能进行超级进化的一种神奇超级石。
352,化石翼龙进化石,リプテラナイト,Aerodactylite,让化石翼龙携带后，在战斗时就能进行超级进化的一种神奇超级石。
353,超梦进化石Ｘ,ミュウツナイトX,Mewtwonite X,让超梦携带后，在战斗时就能进行超级进化的一种神奇超级石。
354,超梦进化石Ｙ,ミュウツナイトY,Mewtwonite Y,让超梦携带后，在战斗时就能进行超级进化的一种神奇超级石。
355,电龙进化石,デンリュウナイト,Ampharosite,让电龙带后，在战斗时就能进行超级进化的一种神奇超级石。
356,大钢蛇进化石,ハガネールナイト,Steelixite,让大钢蛇携带后，在战斗时就能进行超级进化的一种神奇超级石。
357,巨钳螳螂进化石,ハッサムナイト,Scizorite,让巨钳螳螂携带后，在战斗时就能进行超级进化的一种神奇超级石。
358,赫拉克罗斯进化石,ヘラクロスナイト,Heracronite,让赫拉克罗斯携带后，在战斗时就能进行超级进化的一种神奇超级石。
359,黑鲁加进化石,ヘルガナイト,Houndoominite,让黑鲁加携带后，在战斗时就能进行超级进化的一种神奇超级石。
360,班基拉斯进化石,バンギラスナイト,Tyranitarite,让班基拉斯携带后，在战斗时就能进行超级进化的一种神奇超级石。
361,蜥蜴王进化石,ジュカインナイト,Sceptilite,让蜥蜴王携带后，在战斗时就能进行超级进化的一种神奇超级石。
362,火焰鸡进化石,バシャーモナイト,Blazikenite,让火焰鸡携带后，在战斗时就能进行超级进化的一种神奇超级石。
363,巨沼怪进化石,ラグラージナイト,Swampertite,让巨沼怪携带后，在战斗时就能进行超级进化的一种神奇超级石。
364,沙奈朵进化石,サーナイトナイト,Gardevoirite,让沙奈朵携带后，在战斗时就能进行超级进化的一种神奇超级石。
365,勾魂眼进化石,ヤミラミナイト,Sablenite,让勾魂眼携带后，在战斗时就能进行超级进化的一种神奇超级石。
366,大嘴娃进化石,クチートナイト,Mawilite,让大嘴娃携带后，在战斗时就能进行超级进化的一种神奇超级石。
367,波士可多拉进化石,ボスゴドラナイト,Aggronite,让波士可多拉携带后，在战斗时就能进行超级进化的一种神奇超级石。
368,恰雷姆进化石,チャーレムナイト,Medichamite,让恰雷姆携带后，在战斗时就能进行超级进化的一种神奇超级石。
369,雷电兽进化石,ライボルトナイト,Manectite,让雷电兽携带后，在战斗时就能进行超级进化的一种神奇超级石。
370,巨牙鲨进化石,サメハダナイト,Sharpedonite,让巨牙鲨携带后，在战斗时就能进行超级进化的一种神奇超级石。
371,喷火驼进化石,バクーダナイト,Cameruptite,喷火驼携带后，在战斗时就能进行超级进化的一种神奇超级石。
372,七夕青鸟进化石,チルタリスナイト,Altarianite,让七夕青鸟携带后，在战斗时就能进行超级进化的一种神奇超级石。
373,诅咒娃娃进化石,ジュペッタナイト,Banettite,让诅咒娃娃携带后，在战斗时就能进行超级进化的一种神奇超级石。
374,阿勃梭鲁进化石,アブソルナイト,Absolite,让阿勃梭鲁携带后，在战斗时就能进行超级进化的一种神奇超级石。
375,冰鬼护进化石,オニゴーリナイト,Glalitite,让冰鬼护携带后，在战斗时就能进行超级进化的一种神奇超级石。
376,暴飞龙进化石,ボーマンダナイト,Salamencite,暴飞龙携带后，在战斗时就能进行超级进化的一种神奇超级石。
377,巨金怪进化石,メタグロスナイト,Metagrossite,让巨金怪携带后，在战斗时就能进行超级进化的一种神奇超级石。
378,拉帝亚斯进化石,ラティアスナイト,Latiasite,让拉帝亚斯携带后，在战斗时就能进行超级进化的一种神奇超级石。
379,拉帝欧斯进化石,ラティオスナイト,Latiosite,让拉帝欧斯携带后，在战斗时就能进行超级进化的一种神奇超级石。
380,长耳兔进化石,ミミロップナイト,Lopunnite,长耳兔携带后，在战斗时就能进行超级进化的一种神奇超级石。
381,路卡利欧进化石,ルカリオナイト,Lucarionite,让路卡利欧携带后，在战斗时就能进行超级进化的一种神奇超级石。
382,烈咬陆鲨进化石,ガブリアスナイト,Garchompite,让烈咬陆鲨携带后，在战斗时就能进行超级进化的一种神奇超级石。
383,暴雪王进化石,ユキノオナイト,Abomasite,让暴雪王携带后，在战斗时就能进行超级进化的一种神奇超级石。
384,艾路雷朵进化石,エルレイドナイト,Galladite,让艾路雷朵携带后，在战斗时就能进行超级进化的一种神奇超级石。
385,差不多娃娃进化石,タブンネナイト,Audinite,让差不多娃娃携带后，在战斗时就能进行超级进化的一种神奇超级石。
386,蒂安希进化石,ディアンシナイト,Diancite,让蒂安希携带后，在战斗时就能进行超级进化的一种神奇超级石。
387,胆怯球,ビビリだま,Adrenaline Orb,让宝可梦携带后，在受到威吓时速度会提高。
388,大地膜,グランドコート,Terrain Extender,当携带它的宝可梦利用招式或特性展开场地时，场地的持续时间会比平时更长。
389,部位护具,ぼうごパット,Protective Pads,不会受到触碰攻击对手时本应受到的效果。
390,电气种子,エレキシード,Electric Seed,让宝可梦携带后，在电气场地上使用，防御就会提高。
391,精神种子,サイコシード,Psychic Seed,让宝可梦携带后，在精神场地上使用，特防就会提高。
392,薄雾种子,ミストシード,Misty Seed,让宝可梦携带后，在薄雾场地上使用，特防就会提高。
393,青草种子,グラスシード,Grassy Seed,让宝可梦携带后，在青草场地上使用，防御就会提高。
394,战斗存储碟,ファイトメモリ,Fighting Memory,装有格斗属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
395,飞翔存储碟,フライングメモリ,Flying Memory,装有飞行属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
396,毒存储碟,ポイズンメモリ,Poison Memory,装有毒属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
397,大地存储碟,グラウンドメモリ,Ground Memory,装有地面属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
398,岩石存储碟,ロックメモリ,Rock Memory,装有岩石属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
399,虫子存储碟,バグメモリ,Bug Memory,装有虫属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
400,幽灵存储碟,ゴーストメモリ,Ghost Memory,装有幽灵属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
401,钢铁存储碟,スチールメモリ,Steel Memory,装有钢属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
402,火焰存储碟,ファイヤーメモリ,Fire Memory,装有火属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
403,清水存储碟,ウオーターメモリ,Water Memory,装有水属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
404,青草存储碟,グラスメモリ,Grass Memory,装有草属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
405,电子存储碟,エレクトロメモリ,Electric Memory,装有电属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
406,精神存储碟,サイキックメモリ,Psychic Memory,装有超能力属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
407,冰雪存储碟,アイスメモリ,Ice Memory,装有冰属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
408,龙存储碟,ドラゴンメモリ,Dragon Memory,装有龙属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
409,黑暗存储碟,ダークメモリ,Dark Memory,装有恶属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
410,妖精存储碟,フェアリーメモリ,Fairy Memory,装有妖精属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
411,腐朽的剑,くちたけん,Rusted Sword,据说很久以前，英雄就是拿着这把剑驱走了灾厄。而现在早已变得锈迹斑斑。
412,腐朽的盾,くちたたて,Rusted Shield,据说很久以前，英雄就是拿着这面盾驱走了灾厄。而现在早已变得锈迹斑斑。
413,草莓糖饰,いちごアメざいく,Strawberry Sweet,草莓形状的工艺糖果。让小仙奶携带的话，会高兴地转圈圈。
414,爱心糖饰,ハートアメざいく,Love Sweet,爱心形状的工艺糖果。让小仙奶携带的话，会高兴地转圈圈。
415,野莓糖饰,ベリーアメざいく,Berry Sweet,浆果形状的工艺糖果。让小仙奶携带的话，会高兴地转圈圈。
416,幸运草糖饰,よつばアメざいく,Clover Sweet,四叶草形状的工艺糖果。让小仙奶携带的话，会高兴地转圈圈。
417,花朵糖饰,おはなアメざいく,Flower Sweet,花朵形状的工艺糖果。让小仙奶携带的话，会高兴地转圈圈。
418,星星糖饰,スターアメざいく,Star Sweet,星星形状的工艺糖果。让小仙奶携带的话，会高兴地转圈圈。
419,蝴蝶结糖饰,リボンアメざいく,Ribbon Sweet,蝴蝶结形状的工艺糖果。让小仙奶携带的话，会高兴地转圈圈。
420,爽喉喷雾,のどスプレー,Throat Spray,使用声音相关的招式时，特攻会提高。
421,避难背包,だっしゅつパック,Eject Pack,当携带它的宝可梦能力下降时，同行宝可梦就会自动替换上场。
422,厚底靴,あつぞこブーツ,Heavy-Duty Boots,不受脚下陷阱等的影响。
423,客房服务,ルームサービス,Room Service,让宝可梦携带后，在戏法空间使用时，速度会下降。
424,万能伞,ばんのうがさ,Utility Umbrella,携带它的宝可梦将不受各种天气的影响。
425,大金刚宝玉,だいこんごうだま,Adamant Crystal,光辉灿烂的大珠子。对帝牙卢卡使用后，能使之力量高涨并改变形态。
426,大白宝玉,だいしらたま,Lustrous Globe,光辉灿烂的大珠子。对帕路奇亚使用后，能使之力量高涨并改变形态。
427,大白金宝玉,だいはっきんだま,Griseous Core,光辉灿烂的大珠子。对骑拉帝纳使用后，能使之力量高涨并改变形态。
428,驱劲能量,ブーストエナジー,Booster Energy,充满能量的胶囊。让有某种特性的宝可梦携带后，其能力会得到提升。
429,特性护具,とくせいガード,Ability Shield,可爱而有个性的盾。携带后，特性不会被对手改变。
430,清净坠饰,クリアチャーム,Clear Amulet,光芒晶莹剔透的坠饰。携带后，不会因为对手的招式或特性而被降低能力。
431,模仿香草,ものまねハーブ,Mirror Herb,携带它的宝可梦仅有１次机会可以在对手提高能力时，对其进行模仿并提高同样的能力。
432,拳击手套,パンチグローブ,Punching Glove,保护拳头的手套。携带后，拳击招式的威力会提高，且变得拳击时不会接触到对手。
433,密探斗篷,おんみつマント,Covert Cloak,能骗过敌人眼睛的带帽披风。携带后，能够隐藏身体，变得不会受到招式的追加效果影响。
434,机变骰子,いかさまダイス,Loaded Dice,只会出现好数字的骰子。携带后，在使用连续招式时，能使出较多次招式。
435,头领凭证,かしらのしるし,Leader’s Crest,像久经岁月的刃器一样的碎片。只有率领着驹刀小兵群体的劈斩司令能携带着。
436,妖精之羽,ようせいのハネ,Fairy Feather,接触到光后就会微微发光的羽毛。携带后，妖精属性的招式威力就会提高。
437,础石面具,いしずえのめん,Cornerstone Mask,用结晶装饰的木雕面具。让厄诡椪携带后，就会用岩石属性覆盖全身进行战斗。
438,水井面具,いどのめん,Wellspring Mask,用结晶装饰的木雕面具。让厄诡椪携带后，就会用水属性覆盖全身进行战斗。
439,火灶面具,かまどのめん,Hearthflame Mask,用结晶装饰的木雕面具。让厄诡椪携带后，就会用火属性覆盖全身进行战斗。
440,蓝天邮件,あおぞらメール,Bluesky Mail,印有蓝天的邮件。
441,伊布邮件,ブイブイメール,Eon Mail,印有伊布的邮件。
442,花案邮件,はながらメール,Flower Mail,印有花朵的邮件。
443,水色邮件,みずいろメール,Litebluemail,印有迷你龙的邮件。
444,可爱邮件,ラブリーメール,Lovely Mail,印有心的邮件。
445,梦幻邮件,まぼろしメール,Mirage Mail,印有梦幻的邮件。
446,变身邮件,へんしんメール,Morph Mail,印有百变怪的邮件。
447,肖像邮件,にがおえメール,Portraitmail,印有携带者肖像的邮件。
448,音符邮件,おんぷメール,Music Mail,印有天然雀的邮件。
449,冲浪邮件,なみのりメール,Surf Mail,印有拉普拉斯的邮件。
450,橙色邮件,オレンジメール,Orange Mail,印有蛇纹熊的信纸，可以讓宝可梦携带。
451,港口邮件,ハーバーメール,Harbor Mail,印有长翅鸥的信纸，可以讓宝可梦携带。
452,闪亮邮件,キラキラメール,Glitter Mail,印有皮卡丘的信纸，可以讓宝可梦携带。
453,机械邮件,メカニカルメール,Mech Mail,印有小磁怪的信纸，可以讓宝可梦携带。
454,木纹邮件,ウッディメール,Wood Mail,印有懒人獭的信纸，可以讓宝可梦携带。
455,波涛邮件,クロスメール,Wave Mail,印有吼吼鲸的信纸，可以讓宝可梦携带。
456,珠宝邮件,トレジャーメール,Bead Mail,一张能显示持有者的图像的信纸，可以讓宝可梦携带。
457,影子邮件,シャドーメール,Shadow Mail,印有夜巡灵的信纸，可以讓宝可梦携带。
458,热带邮件,トロピカルメール,Tropical Mail,印有美丽花的信纸，可以讓宝可梦携带。
459,梦境邮件,ドリームメール,Dream Mail,一张能显示持有者的图像的信纸，可以讓宝可梦携带。
460,奇迹邮件,ミラクルメール,Miracle Mail,一张华丽的信纸，可以讓宝可梦携带。
461,复古邮件,レトロメール,Retro Mail,印有三种宝可梦的信纸，可以讓宝可梦携带。
462,青草邮件,グラスメール,Grass Mail,印有新鲜绿草的特殊信纸。使用该道具时，需要让宝可梦携带着来用。
463,火焰邮件,フレイムメール,Flame Mail,印有红色火花的特殊信纸。使用该道具时，需要让宝可梦携带着来用。
464,水蓝邮件,ブルーメール,Bubble Mail,印有水下藍色世界的特殊信纸。使用该道具时，需要让宝可梦携带着来用。
465,绽放邮件,ブルームメール,Bloom Mail,印有漂亮的花卉图案的特殊信纸。使用该道具时，需要让宝可梦携带着来用。
466,隧道邮件,トンネルメール,Tunnel Mail,印有昏暗的煤矿的特殊信纸。使用该道具时，需要让宝可梦携带着来用。
467,钢铁邮件,スチールメール,Steel Mail,印有很酷的机械设计的特殊信纸。使用该道具时，需要让宝可梦携带着来用。
468,甜蜜邮件,ラブラブメール,Heart Mail,印有巨大的爱心的特殊信纸。使用该道具时，需要让宝可梦携带着来用。
469,暴雪邮件,ブリザードメール,Snow Mail,印有寒冷的冰雪覆盖的世界的特殊信纸。使用该道具时，需要让宝可梦携带着来用。
470,空间邮件,スペースメール,Space Mail,印有广袤无垠的空间的特殊信纸。使用该道具时，需要让宝可梦携带着来用。
471,天空邮件,エアメール,Air Mail,印有丰富多彩条纹的特殊信纸。使用该道具时，需要让宝可梦携带着来用。
472,彩嵌邮件,モザイクメール,Mosaic Mail,印有一个生动的彩虹图案的特殊信纸。使用该道具时，需要让宝可梦携带着来用。
473,砖块邮件,ブリックメール,Brick Mail,印有坚硬砖墙的特殊信纸。使用该道具时，需要让宝可梦携带着来用。
474,初次邮件,はじめてメール,Greet Mail,方便写初次见面这类寒暄语的信纸。使用该道具时，需要让宝可梦携带着来用。
475,喜爱邮件,だいすきメール,Favored Mail,方便写表达自己喜好这类邮件的信纸。使用该道具时，需要让宝可梦携带着来用。
476,邀请邮件,おさそいメール,RSVP Mail,方便写邀请对方这类邮件的信纸。使用该道具时，需要让宝可梦携带着来用。
477,感谢邮件,かんしゃメール,Thanks Mail,方便写表达感谢这类邮件的信纸。使用该道具时，需要让宝可梦携带着来用。
478,询问邮件,しつもんメール,Inquiry Mail,方便写询问对方这类邮件的信纸。使用该道具时，需要让宝可梦携带着来用。
479,推荐邮件,おすすめメール,Like Mail,方便写推荐内容这类邮件的信纸。使用该道具时，需要让宝可梦携带着来用。
480,回复邮件,おかえしメール,Reply Mail,方便写回复邮件的信纸。使用该道具时，需要让宝可梦携带着来用。
481,桥梁邮件Ｓ,ブリッジメールＳ,Bridge Mail S,印有通天桥图案的信纸。使用该道具时，需要让宝可梦携带着来用。
482,桥梁邮件Ｈ,ブリッジメールＨ,Bridge Mail D,印有鲜红色活动桥图案的信纸。使用该道具时，需要让宝可梦携带着来用。
483,桥梁邮件Ｃ,ブリッジメールＣ,Bridge Mail T,印有钢铁悬索桥图案的信纸。使用该道具时，需要让宝可梦携带着来用。
484,桥梁邮件Ｖ,ブリッジメールＶ,Bridge Mail V,印有砖桥图案的信纸。使用该道具时，需要让宝可梦携带着来用。
485,桥梁邮件Ｗ,ブリッジメールＷ,Bridge Mail M,印有拱桥图案的信纸。使用该道具时，需要让宝可梦携带着来用。
486,神奇糖果,ふしぎなアメ,Rare Candy,充满能量的糖果。将它交给宝可梦后，１只宝可梦的等级仅会提高１。
487,经验糖果ＸＳ,けいけんアメＸＳ,Exp. Candy XS,充满能量的糖果。交给１只宝可梦后，可以为它增加一点点经验值。
488,经验糖果Ｓ,けいけんアメＳ,Exp. Candy S,充满能量的糖果。交给１只宝可梦后，可以为它增加少许经验值。
489,经验糖果Ｍ,けいけんアメＭ,Exp. Candy M,充满能量的糖果。交给１只宝可梦后，可以为它增加经验值。
490,经验糖果Ｌ,けいけんアメＬ,Exp. Candy L,充满能量的糖果。交给１只宝可梦后，可以为它增加许多经验值。
491,经验糖果ＸＬ,けいけんアメＸＬ,Exp. Candy XL,充满能量的糖果。交给１只宝可梦后，可以为它增加大量经验值。
